"No.","Time","Source","Destination","Protocol","Length","Info"
"32","2.827340","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=22986 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 34]"
"33","2.827340","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=24446 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 34]"
"34","2.827340","150.171.22.12","100.86.247.80","TLSv1.2","1261","Application Data"
"35","2.827340","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=27113 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 37]"
"36","2.827340","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=28573 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 37]"
"37","2.827340","150.171.22.12","100.86.247.80","TLSv1.2","1261","Application Data"
"38","2.827340","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=31240 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 40]"
"39","2.827340","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=32700 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 40]"
"40","2.827340","150.171.22.12","100.86.247.80","TLSv1.2","1261","Application Data"
"41","2.827340","150.171.22.12","100.86.247.80","TLSv1.2","885","Application Data"
"42","2.827340","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=36198 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 44]"
"43","2.827340","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=37658 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 44]"
"44","2.827340","150.171.22.12","100.86.247.80","TLSv1.2","1261","Application Data"
"45","2.827340","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=40325 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 47]"
"46","2.827340","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=41785 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 47]"
"47","2.827340","150.171.22.12","100.86.247.80","TLSv1.2","1261","Application Data"
"48","2.827340","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=44452 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 50]"
"49","2.827340","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=45912 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 50]"
"50","2.827340","150.171.22.12","100.86.247.80","TLSv1.2","1261","Application Data"
"51","2.829584","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=16992 Win=511 Len=0"
"52","2.829825","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=18452 Win=511 Len=0"
"53","2.830000","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=18859 Win=510 Len=0"
"54","2.830144","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=20319 Win=511 Len=0"
"55","2.830281","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=21779 Win=511 Len=0"
"56","2.830447","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=24446 Win=511 Len=0"
"57","2.830583","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=25906 Win=511 Len=0"
"58","2.830732","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=27113 Win=507 Len=0"
"59","2.830836","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=28573 Win=511 Len=0"
"60","2.830960","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=30033 Win=511 Len=0"
"61","2.831203","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=32700 Win=511 Len=0"
"62","2.831347","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=34160 Win=511 Len=0"
"63","2.831488","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=35367 Win=507 Len=0"
"64","2.831631","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=36198 Win=511 Len=0"
"65","2.831763","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=37658 Win=511 Len=0"
"66","2.831897","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=39118 Win=511 Len=0"
"67","2.832037","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=40325 Win=507 Len=0"
"68","2.832187","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=41785 Win=511 Len=0"
"69","2.832331","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=43245 Win=511 Len=0"
"70","2.832555","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=45912 Win=511 Len=0"
"71","2.832705","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=47372 Win=511 Len=0"
"72","2.832850","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=48579 Win=507 Len=0"
"73","2.848847","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=48579 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 75]"
"74","2.848847","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=50039 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 75]"
"75","2.848847","150.171.22.12","100.86.247.80","TLSv1.2","1261","Application Data"
"76","2.848847","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=52706 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 78]"
"77","2.848847","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=54166 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 78]"
"78","2.848847","150.171.22.12","100.86.247.80","TLSv1.2","1261","Application Data"
"79","2.848847","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=56833 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 81]"
"80","2.848847","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=58293 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 81]"
"81","2.848847","150.171.22.12","100.86.247.80","TLSv1.2","1261","Application Data"
"82","2.848847","150.171.22.12","100.86.247.80","TLSv1.2","878","Application Data"
"83","2.848847","150.171.22.12","100.86.247.80","TLSv1.2","88","Application Data"
"84","2.848847","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=61818 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 86]"
"85","2.848847","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=63278 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 86]"
"86","2.848847","150.171.22.12","100.86.247.80","TLSv1.2","1252","Application Data"
"87","2.848847","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=65936 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 89]"
"88","2.848847","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=67396 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 89]"
"89","2.848847","150.171.22.12","100.86.247.80","TLSv1.2","466","Application Data"
"90","2.848847","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=69268 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 92]"
"91","2.848847","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=70728 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 92]"
"92","2.848847","150.171.22.12","100.86.247.80","TLSv1.2","1261","Application Data"
"93","2.848847","150.171.22.12","100.86.247.80","TLSv1.2","266","Application Data"
"94","2.848847","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=73607 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 96]"
"95","2.848847","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=75067 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 96]"
"96","2.848847","150.171.22.12","100.86.247.80","TLSv1.2","1205","Application Data"
"97","2.850362","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=50039 Win=511 Len=0"
"98","2.850579","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=51499 Win=511 Len=0"
"99","2.850725","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=54166 Win=511 Len=0"
"100","2.850886","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=55626 Win=511 Len=0"
"101","2.850954","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=56833 Win=507 Len=0"
"102","2.851050","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=58293 Win=511 Len=0"
"103","2.851141","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=59753 Win=511 Len=0"
"104","2.851287","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=61784 Win=511 Len=0"
"105","2.851466","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=63278 Win=511 Len=0"
"106","2.851592","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=64738 Win=511 Len=0"
"107","2.851703","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=65936 Win=507 Len=0"
"108","2.852049","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=67396 Win=511 Len=0"
"109","2.852182","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=68856 Win=511 Len=0"
"110","2.852312","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=70728 Win=511 Len=0"
"111","2.852421","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=72188 Win=511 Len=0"
"112","2.852543","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=73395 Win=507 Len=0"
"113","2.852692","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=75067 Win=511 Len=0"
"114","2.852802","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=76527 Win=511 Len=0"
"115","2.852890","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=77678 Win=507 Len=0"
"116","2.854420","150.171.22.12","100.86.247.80","TLSv1.2","135","Application Data"
"117","2.854420","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=77759 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 119]"
"118","2.854420","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=79219 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 119]"
"119","2.854420","150.171.22.12","100.86.247.80","TLSv1.2","1261","Application Data"
"120","2.854420","150.171.22.12","100.86.247.80","TLSv1.2","138","Application Data"
"121","2.854420","150.171.22.12","100.86.247.80","TLSv1.2","222","Application Data"
"122","2.854747","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=79219 Win=511 Len=0"
"123","2.854872","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=80679 Win=511 Len=0"
"124","2.854940","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=81886 Win=507 Len=0"
"125","2.855033","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=82138 Win=511 Len=0"
"126","2.856131","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=82138 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 128]"
"127","2.856131","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=83598 Ack=393 Win=16382 Len=1460 [TCP PDU reassembled in 128]"
"128","2.856131","150.171.22.12","100.86.247.80","TLSv1.2","285","Application Data"
"129","2.856131","150.171.22.12","100.86.247.80","TLSv1.2","210","Application Data"
"130","2.856131","150.171.22.12","100.86.247.80","TLSv1.2","190","Application Data"
"131","2.856131","150.171.22.12","100.86.247.80","TCP","56","443  >  63394 [ACK] Seq=85581 Ack=428 Win=16382 Len=0"
"132","2.856525","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=85058 Win=511 Len=0"
"133","2.856674","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=85445 Win=510 Len=0"
"134","2.909087","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=85581 Win=509 Len=0"
"135","3.073399","150.171.22.12","100.86.247.80","TLSv1.2","508","Application Data"
"136","3.086762","150.171.22.12","100.86.247.80","TLSv1.2","183","Application Data"
"137","3.086762","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=86164 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 139]"
"138","3.086762","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=87624 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 139]"
"139","3.086892","150.171.22.12","100.86.247.80","TLSv1.2","1157","Application Data"
"140","3.086892","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=90187 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 145]"
"141","3.087003","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=86164 Win=507 Len=0"
"142","3.087189","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=89084 Win=511 Len=0"
"143","3.087473","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=91647 Win=511 Len=0"
"144","3.088216","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=91647 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 145]"
"145","3.088216","150.171.22.12","100.86.247.80","TLSv1.2","181","Application Data"
"146","3.088459","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=93234 Win=511 Len=0"
"147","3.092335","150.171.22.12","100.86.247.80","TLSv1.2","1133","Application Data"
"148","3.135561","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=94313 Win=507 Len=0"
"149","3.170929","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=94313 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 151]"
"150","3.170929","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=95773 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 151]"
"151","3.170929","150.171.22.12","100.86.247.80","TLSv1.2","150","Application Data"
"152","3.171229","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=97233 Win=511 Len=0"
"153","3.173241","150.171.22.12","100.86.247.80","TLSv1.2","1190","Application Data"
"154","3.173241","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=98465 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 156]"
"155","3.173241","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=99925 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 156]"
"156","3.173241","150.171.22.12","100.86.247.80","TLSv1.2","1200","Application Data"
"157","3.173241","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=102531 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 159]"
"158","3.173241","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=103991 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 159]"
"159","3.173241","150.171.22.12","100.86.247.80","TLSv1.2","1261","Application Data"
"160","3.173241","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=106658 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 162]"
"161","3.173241","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=108118 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 162]"
"162","3.173241","150.171.22.12","100.86.247.80","TLSv1.2","1261","Application Data"
"163","3.173652","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=98465 Win=507 Len=0"
"164","3.173815","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=101385 Win=511 Len=0"
"165","3.173945","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=103991 Win=511 Len=0"
"166","3.174069","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=106658 Win=511 Len=0"
"167","3.174207","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=109578 Win=511 Len=0"
"168","3.175182","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=110785 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 169]"
"169","3.175182","150.171.22.12","100.86.247.80","TLSv1.2","1152","Application Data"
"170","3.175365","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=112245 Win=511 Len=0"
"171","3.221473","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=113343 Win=507 Len=0"
"172","3.221661","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=113343 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 174]"
"173","3.221661","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=114803 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 174]"
"174","3.221661","150.171.22.12","100.86.247.80","TLSv1.2","1205","Application Data"
"175","3.222007","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=116263 Win=511 Len=0"
"176","3.229154","150.171.22.12","100.86.247.80","TLSv1.2","135","Application Data"
"177","3.229154","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=117495 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 179]"
"178","3.229154","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=118955 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 179]"
"179","3.229154","150.171.22.12","100.86.247.80","TLSv1.2","1261","Application Data"
"180","3.229154","150.171.22.12","100.86.247.80","TLSv1.2","1153","Application Data"
"181","3.229357","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=117495 Win=507 Len=0"
"182","3.229511","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=120415 Win=511 Len=0"
"183","3.229622","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=122721 Win=511 Len=0"
"184","3.234286","150.171.22.12","100.86.247.80","TLSv1.2","559","Application Data"
"185","3.234769","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=123226 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 186]"
"186","3.234769","150.171.22.12","100.86.247.80","TLSv1.2","269","Application Data"
"187","3.234935","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=124686 Win=511 Len=0"
"188","3.249354","150.171.22.12","100.86.247.80","TLSv1.2","1277","Application Data"
"189","3.249588","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=126124 Win=506 Len=0"
"190","3.264582","150.171.22.12","100.86.247.80","TLSv1.2","795","Application Data"
"191","3.265503","150.171.22.12","100.86.247.80","TLSv1.2","120","Application Data"
"192","3.265577","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=126931 Win=511 Len=0"
"193","3.268992","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=126931 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 195]"
"194","3.268992","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=128391 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 195]"
"195","3.268992","150.171.22.12","100.86.247.80","TLSv1.2","1205","Application Data"
"196","3.269246","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=129851 Win=511 Len=0"
"197","3.270277","150.171.22.12","100.86.247.80","TLSv1.2","135","Application Data"
"198","3.270277","150.171.22.12","100.86.247.80","TLSv1.2","283","Application Data"
"199","3.270433","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=131083 Win=507 Len=0"
"200","3.271592","150.171.22.12","100.86.247.80","TLSv1.2","322","Application Data"
"201","3.271746","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=131580 Win=511 Len=0"
"202","3.278795","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=131580 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 203]"
"203","3.278795","150.171.22.12","100.86.247.80","TLSv1.2","256","Application Data"
"204","3.278973","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=133242 Win=511 Len=0"
"205","3.291632","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=133242 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 206]"
"206","3.291996","150.171.22.12","100.86.247.80","TLSv1.2","784","Application Data"
"207","3.291996","150.171.22.12","100.86.247.80","TLSv1.2","445","Application Data"
"208","3.292202","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=135432 Win=511 Len=0"
"209","3.292583","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=135823 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 210]"
"210","3.292583","150.171.22.12","100.86.247.80","TLSv1.2","301","Application Data"
"211","3.292735","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=137283 Win=511 Len=0"
"212","3.337491","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=137530 Win=511 Len=0"
"213","3.349698","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=137530 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 215]"
"214","3.350134","150.171.22.12","100.86.247.80","TCP","1514","443  >  63394 [ACK] Seq=138990 Ack=428 Win=16382 Len=1460 [TCP PDU reassembled in 215]"
"215","3.350134","150.171.22.12","100.86.247.80","TLSv1.2","1205","Application Data"
"216","3.350379","100.86.247.80","150.171.22.12","TCP","54","63394  >  443 [ACK] Seq=428 Ack=140450 Win=511 Len=0"
